api_field,internal_column,type,nullable,example
detail.statement.3d_url,myhome_statement_json,mixed,true,None
detail.statement.additional_information,myhome_statement_json,mixed,true,list
detail.statement.additional_phone_number,myhome_statement_json,mixed,true,''
detail.statement.address,address,scalar_or_derived,true,'ბობ უოლშის ქუჩა 26'
detail.statement.airbnb_link,myhome_statement_json,mixed,true,None
detail.statement.all_nearby_places_image,myhome_statement_json,mixed,true,None
detail.statement.appear_rs_code,myhome_statement_json,mixed,true,True
detail.statement.area,area_m2,scalar_or_derived,true,57
detail.statement.area_type_id,myhome_statement_json,mixed,true,1
detail.statement.balconies,myhome_statement_json,mixed,true,None
detail.statement.balcony_area,myhome_statement_json,mixed,true,None
detail.statement.bathroom_type_id,myhome_statement_json,mixed,true,None
detail.statement.bedroom_type_id,myhome_statement_json,mixed,true,1
detail.statement.booking_link,myhome_statement_json,mixed,true,None
detail.statement.build_year,myhome_statement_json,mixed,true,None
detail.statement.can_exchanged,myhome_statement_json,mixed,true,False
detail.statement.can_exchanged_comment,myhome_statement_json,mixed,true,None
detail.statement.city_id,myhome_statement_json,mixed,true,1
detail.statement.city_name,myhome_statement_json,mixed,true,'თბილისი'
detail.statement.comment,description,scalar_or_derived,true,"'იყიდება 57 მ² ახალი აშენებული ბინა თბილისში, ბობ უოლშის ქუჩა #26-ში. ეს არის შე"
detail.statement.condition,myhome_statement_json,mixed,true,'ახალი გარემონტებული'
detail.statement.condition_id,myhome_statement_json,mixed,true,1
detail.statement.created_at,published_at,scalar_or_derived,true,'2026-05-02 23:21:16'
detail.statement.currency_id,myhome_statement_json,mixed,true,2
detail.statement.daily_rent_type,myhome_statement_json,mixed,true,None
detail.statement.daily_rent_type_id,myhome_statement_json,mixed,true,None
detail.statement.deal_type_id,myhome_statement_json,mixed,true,1
detail.statement.district_id,myhome_statement_json,mixed,true,4
detail.statement.district_name,district,scalar_or_derived,true,'ვაკე-საბურთალო'
detail.statement.door_window_type,myhome_statement_json,mixed,true,None
